BoundaryEvents,BuyVolume,CompressionScore,EndReason,High,HighTests,Low,LowTests,POC,ProfileCVD,ProfileLabel,Range,RangeToBaselineMedian,ReadyBar,ResolvedBar,SellVolume,StudyBars,TradeCoverage
4,509.0,0.69,ACCEPTANCE_BELOW_RANGE,29958.0,0,29901.0,4,29945.75,4.0,2026-06-12:139-145:DynamicCompression,57.0,1.44,145,149,505.0,4,AVAILABLE
2,1057.0,0.69,ACCEPTANCE_BELOW_RANGE,30960.75,0,30928.5,2,30946.5,-160.0,2026-06-16:714-720:DynamicCompression,32.25,1.63,720,723,1217.0,3,AVAILABLE
3,685.0,0.72,ACCEPTANCE_BELOW_RANGE,30526.5,0,30485.25,3,30497.0,-182.0,2026-06-17:962-968:DynamicCompression,41.25,1.81,968,971,867.0,3,AVAILABLE
12,2542.0,0.65,ACCEPTANCE_BELOW_RANGE,30650.0,5,30617.25,7,30639.0,-168.0,2026-06-19:1501-1507:DynamicCompression,32.75,1.68,1507,1527,2710.0,20,AVAILABLE
3,561.0,0.67,ACCEPTANCE_ABOVE_RANGE,30581.5,3,30535.75,0,30557.75,-39.0,2026-06-19:1535-1541:DynamicCompression,45.75,2.13,1541,1544,600.0,3,AVAILABLE
2,2236.0,0.68,SESSION_END,30695.75,2,30629.25,0,30671.5,288.0,2026-06-19:1564-1577:DynamicCompression,66.5,3.09,1577,1584,1948.0,7,AVAILABLE
7,5696.0,0.7,ACCEPTANCE_ABOVE_RANGE,29842.25,7,29752.0,0,29795.0,1147.0,2026-06-23:2035-2041:DynamicCompression,90.25,2.69,2041,2048,4549.0,7,AVAILABLE
7,41017.0,0.75,ACCEPTANCE_ABOVE_RANGE,29775.0,4,29691.75,3,29712.0,1333.0,2026-06-23:2059-2067:DynamicCompression,83.25,2.25,2067,2074,39684.0,7,AVAILABLE
3,730.0,0.73,ACCEPTANCE_BELOW_RANGE,29843.75,0,29793.75,3,29820.0,-94.0,2026-06-24:2289-2295:DynamicCompression,50.0,1.57,2295,2300,824.0,5,AVAILABLE
9,3347.0,0.75,ACCEPTANCE_BELOW_RANGE,29821.25,6,29774.0,3,29800.0,-24.0,2026-06-24:2302-2308:DynamicCompression,47.25,1.62,2308,2319,3371.0,11,AVAILABLE
4,2700.0,0.68,ACCEPTANCE_BELOW_RANGE,30185.0,2,30140.0,2,30155.0,8.0,2026-06-25:2582-2589:DynamicCompression,45.0,2.22,2589,2597,2692.0,8,AVAILABLE
2,0.0,0.67,ACCEPTANCE_BELOW_RANGE,29514.0,0,29444.25,2,29492.75,0.0,2026-06-26:2834-2840:DynamicCompression,69.75,1.76,2840,2842,0.0,2,MISSING
3,0.0,0.74,ACCEPTANCE_ABOVE_RANGE,29387.0,3,29340.25,0,29357.0,0.0,2026-06-26:2860-2866:DynamicCompression,46.75,1.23,2866,2870,0.0,4,MISSING
5,0.0,0.75,ACCEPTANCE_ABOVE_RANGE,29402.25,2,29354.5,3,29370.75,0.0,2026-06-26:2871-2877:DynamicCompression,47.75,1.59,2877,2882,0.0,5,MISSING
3,2204.0,0.7,ACCEPTANCE_ABOVE_RANGE,29688.25,2,29640.5,1,29660.0,37.0,2026-06-29:3119-3125:DynamicCompression,47.75,1.55,3125,3133,2167.0,8,AVAILABLE
4,2668.0,0.76,ACCEPTANCE_BELOW_RANGE,29759.75,0,29697.0,4,29707.75,-197.0,2026-06-29:3149-3155:DynamicCompression,62.75,2.5,3155,3164,2865.0,9,AVAILABLE
2,349.0,0.74,ACCEPTANCE_ABOVE_RANGE,30365.0,2,30338.75,0,30352.5,45.0,2026-07-01:3673-3679:DynamicCompression,26.25,1.01,3679,3682,304.0,3,AVAILABLE
2,1623.0,0.68,ACCEPTANCE_ABOVE_RANGE,30021.5,2,29967.0,0,29974.75,206.0,2026-07-02:3968-3976:DynamicCompression,54.5,1.82,3976,3980,1417.0,4,AVAILABLE
2,301.0,0.8,ACCEPTANCE_ABOVE_RANGE,29861.0,2,29832.75,0,29840.0,34.0,2026-07-03:4212-4218:DynamicCompression,28.25,1.56,4218,4220,267.0,2,AVAILABLE
13,1875.0,0.76,ACCEPTANCE_ABOVE_RANGE,29884.0,13,29864.5,0,29878.0,406.0,2026-07-03:4237-4243:DynamicCompression,19.5,1.18,4243,4259,1469.0,16,AVAILABLE
7,1498.0,0.67,ACCEPTANCE_ABOVE_RANGE,29875.0,5,29839.0,2,29859.0,118.0,2026-07-06:4452-4458:DynamicCompression,36.0,1.67,4458,4467,1380.0,9,AVAILABLE
2,1293.0,0.69,ACCEPTANCE_ABOVE_RANGE,29011.0,2,28922.75,0,28930.0,259.0,2026-07-08:5010-5020:DynamicCompression,88.25,1.7,5020,5022,1034.0,2,AVAILABLE
2,2456.0,0.75,ACCEPTANCE_ABOVE_RANGE,29033.0,2,28973.0,0,28995.0,448.0,2026-07-08:5029-5035:DynamicCompression,60.0,1.49,5035,5037,2008.0,2,AVAILABLE
6,3149.0,0.68,ACCEPTANCE_BELOW_RANGE,29675.75,0,29629.0,6,29667.75,-381.0,2026-07-09:5278-5286:DynamicCompression,46.75,1.84,5286,5302,3530.0,16,AVAILABLE
